,words
1118,hand
1119,boom
1120,economy
1121,blow
1122,blow
1123,yeah
1124,even
1125,covid
1126,manufacture
1127,hole
1128,manufacture
1129,hole
1130,number
1131,one
1132,number
1133,two
1134,number
1135,three
1136,guy
1137,crosstalk
1138,guy
1139,bring
1140,back
1141,automobile
1142,industry
1143,ask
1144,bring
1145,back
1146,chrysler
1147,general
1148,motor
1149,bring
1150,back
1151,right
1152,state
1153,ohio
1154,michigan
1155,blow
1156,blow
1157,fact
1158,true
1159,look
1160,actually
1161,do
1162,do
1163,little
1164,trade
1165,deal
1166,talk
1167,great
1168,trade
1169,deal
1170,talk
1171,art
1172,deal
1173,china
1174,perfect
1175,art
1176,steel
1177,higher
1178,deficit
1179,china
1180,highest
1181,trade
1182,deficit
1183,mexico
1184,true
1185,none
1186,true
1187,none
1188,true
1189,totally
1190,totally
1191,discredit
1192,totally
1193,discredit
1194,mr
1195,vice
1196,true
1197,fact
1198,totally
1199,discredit
1200,son
1201,nothing
1202,wrong
1203,barisma
1204,answer
1205,truth
1206,position
1207,totally
1208,thoroughly
1209,discredit
1210,everybody
1211,well
1212,medium
1213,ally
1214,world
1215,bank
1216,everyone
1217,discredit
1218,matter
1219,fact
1220,crosstalk
1221,matter
1222,fact
1223,even
1224,people
1225,testify
1226,oath
1227,even
1228,people
1229,testify
1230,oath
1231,administration
1232,job
1233,well
1234,honorably
1235,well
1236,give
1237,list
1238,people
1239,sure
1240,already
1241,fire
1242,good
1243,job
1244,well
1245,crosstalk
1246,well
1247,hard
1248,get
1249,word
1250,clown
1251,excuse
1252,person
1253,mr
1254,president
1255,crosstalk
1256,simply
1257,true
1258,look
1259,deal
1260,talk
1261,family
1262,ethic
1263,mean
1264,family
1265,could
1266,talk
1267,night
1268,family
1269,already
1270,crosstalk
1271,family
1272,family
1273,family
1274,american
1275,people
1276,crosstalk
1277,true
1278,talk
1279,need
1280,american
1281,people
1282,talk
1283,crosstalk
1284,try
1285,honest
1286,absolutely
1287,true
1288,good
1289,point
1290,equity
1291,equality
1292,decency
1293,constitution
1294,never
1295,walk
1296,away
1297,try
1298,require
1299,equity
1300,everyone
1301,equality
1302,whole
1303,america
1304,never
1305,accomplish
1306,never
1307,walk
1308,away
1309,like
1310,do
1311,true
1312,reason
1313,get
1314,race
1315,close
1316,eye
1317,remember
1318,people
1319,look
1320,like
1321,come
1322,field
1323,carry
1324,torch
1325,vein
1326,bulge
1327,spew
1328,antisemitic
1329,bile
1330,accompany
1331,ku
1332,klux
1333,klan
1334,young
1335,woman
1336,get
1337,kill
1338,ask
1339,president
1340,fine
1341,people
1342,side
1343,president
1344,ever
1345,anything
1346,like
1347,crosstalk
1348,second
1349,point
1350,floyd
1351,kill
1352,mr
1353,floyd
1354,kill
1355,peaceful
1356,protest
1357,front
1358,white
1359,house
1360,come
1361,bunker
1362,military
1363,use
1364,tear
1365,gas
1366,could
1367,walk
1368,across
1369,church
1370,hold
1371,bible
1372,happen
1373,bishop
1374,church
1375,disgrace
1376,general
1377,ever
1378,divide
1379,people
1380,unite
1381,people
1382,president
1383,use
1384,everything
1385,dog
1386,whistle
1387,try
1388,generate
1389,racist
1390,hatred
1391,racist
1392,division
1393,man
1394,fact
1395,talk
1396,help
1397,africanamericans
1398,one
1399,african
1400,american
1401,kill
