,words
1059,north
1060,carolina
1061,look
1062,governor
1063,siege
1064,pennsylvania
1065,michigan
1066,couple
1067,others
1068,get
1069,open
1070,state
1071,fair
1072,talk
1073,almost
1074,like
1075,prison
1076,look
1077,divorce
1078,look
1079,alcoholism
1080,drug
1081,sad
1082,close
1083,whole
1084,country
1085,guy
1086,close
1087,whole
1088,country
1089,destroy
1090,country
1091,country
1092,come
1093,back
1094,incredibly
1095,well
1096,set
1097,record
1098,need
1099,somebody
1100,come
1101,shut
1102,wrong
1103,crosstalk
1104,respond
1105,excuse
1106,statement
1107,people
1108,school
1109,open
1110,shut
1111,state
1112,shut
1113,restaurant
1114,look
1115,new
1116,york
1117,sad
1118,happen
1119,new
1120,york
1121,almost
1122,like
1123,ghost
1124,town
1125,sure
1126,ever
1127,recover
1128,do
1129,new
1130,york
1131,people
1132,place
1133,open
1134,get
1135,back
1136,live
1137,careful
1138,school
1139,open
1140,one
1141,bring
1142,back
1143,football
1144,bring
1145,back
1146,big
1147,ten
1148,football
1149,happy
1150,people
1151,ohio
1152,proud
1153,find
1154,crosstalk
1155,pay
1156,million
1157,dollar
1158,tax
1159,million
1160,dollar
1161,income
1162,tax
1163,tell
1164,story
1165,one
1166,paper
1167,pay
1168,pay
1169,million
1170,one
1171,year
1172,pay
1173,million
1174,one
1175,year
1176,soon
1177,finish
1178,board
1179,election
1180,page
1181,report
1182,everything
1183,every
1184,bank
1185,totally
1186,leverage
1187,asset
1188,extremely
1189,good
1190,build
1191,great
1192,company
1193,tell
1194,million
1195,dollar
1196,million
1197,dollar
1198,yes
1199,million
1200,dollar
1201,get
1202,get
1203,tell
1204,chris
1205,something
1206,tax
1207,law
1208,pay
1209,tax
1210,come
1211,private
1212,developer
1213,private
1214,business
1215,people
1216,like
1217,every
1218,private
1219,person
1220,unless
1221,stupid
1222,law
1223,pas
1224,tax
1225,bill
1226,give
1227,u
1228,privilege
1229,depreciation
1230,tax
1231,credit
1232,build
1233,build
1234,get
1235,tax
1236,credit
1237,like
1238,hotel
1239,pennsylvania
1240,avenue
1241,give
1242,obama
1243,administration
1244,believe
1245,man
1246,get
1247,fire
1248,right
1249,happen
1250,okay
1251,last
1252,year
1253,last
1254,year
1255,senator
1256,crosstalk
1257,hey
1258,joe
1259,tell
1260,joe
1261,month
1262,do
1263,do
1264,year
1265,joe
1266,do
1267,never
1268,even
1269,include
1270,fix
1271,break
1272,military
1273,give
1274,include
1275,care
1276,debt
1277,none
1278,vice
1279,president
1280,obama
1281,get
1282,do
1283,happen
1284,economy
1285,boom
1286,like
1287,never
1288,boom
1289,excuse
1290,slowest
1291,economic
1292,recovery
1293,since
1294,slowest
1295,recovery
1296,also
1297,something
1298,turn
1299,light
1300,pick
1301,lot
1302,slowest
1303,economic
1304,recovery
1305,since
1306,tell
1307,stock
1308,market
1309,stock
1310,market
1311,mean
1312,job
1313,also
1314,mean
1315,get
1316,ever
1317,become
1318,president
1319,idea
1320,terminate
1321,tax
1322,tell
1323,lose
1324,half
1325,company
1326,pour
1327,leave
1328,plenty
1329,company
1330,already
1331,leave
1332,place
1333,crosstalk
1334,leave
1335,depression
1336,like
1337,never
1338,bloom
1339,boom
1340,weakest
1341,recovery
1342,since
1343,covid
1344,come
1345,along
1346,excuse
1347,chris
1348,wait
1349,chris
1350,would
1351,number
1352,two
1353,chris
1354,chris
1355,would
1356,miracle
1357,bring
1358,back
1359,manufacture
1360,bring
1361,back
1362,job
1363,bring
1364,back
1365,nothing
1366,give
1367,manufacture
1368,standard
1369,fare
1370,totally
1371,give
1372,manufacture
1373,ohio
1374,best
1375,year
1376,ever
1377,last
1378,year
1379,michigan
1380,best
1381,year
1382,ever
1383,many
1384,car
1385,company
1386,come
1387,germany
1388,japan
1389,michigan
1390,ohio
1391,come
1392,crosstalk
1393,china
1394,eat
1395,lunch
1396,crosstalk
1397,china
1398,eat
1399,lunch
1400,joe
1401,wonder
1402,son
1403,billion
1404,dollar
1405,billion
1406,dollar
1407,manage
1408,million
1409,dollar
1410,also
1411,curiosity
1412,mayor
1413,moscow
1414,wife
1415,give
1416,son
1417,three
1418,half
1419,million
1420,dollar
1421,deserve
1422,deserve
1423,oh
1424,really
1425,get
1426,three
1427,half
1428,million
1429,well
1430,wait
1431,get
1432,three
1433,half
1434,million
1435,dollar
1436,joe
1437,get
1438,three
1439,half
1440,million
1441,dollar
1442,oh
1443,really
1444,fact
1445,burisma
1446,pay
1447,month
1448,experience
1449,energy
1450,medium
1451,medium
1452,refuse
1453,talk
1454,embarrass
1455,ask
1456,joe
1457,crosstalk
1458,get
1459,three
1460,half
1461,million
1462,dollar
1463,moscow
1464,oh
1465,really
1466,like
1467,fire
1468,people
1469,good
1470,job
1471,hey
1472,tell
1473,joe
1474,three
1475,half
1476,million
1477,joe
1478,deserve
1479,three
1480,half
1481,million
1482,moscow
1483,family
1484,family
1485,lose
1486,fortune
1487,come
1488,help
1489,u
1490,governance
1491,every
1492,single
1493,one
1494,lose
1495,fortune
1496,chris
1497,honest
1498,important
1499,question
1500,stand
1501,threaten
1502,ukraine
1503,billion
1504,dollar
1505,well
1506,well
1507,right
1508,plenty
1509,plenty
1510,oh
1511,yeah
1512,sure
1513,true
1514,crime
1515,bill
1516,call
1517,super
1518,predator
1519,africanamericans
1520,super
1521,predator
1522,never
1523,forget
1524,never
1525,forget
1526,call
1527,super
1528,predator
1529,people
1530,jail
1531,treat
1532,africanamerican
1533,population
1534,community
1535,treat
1536,black
1537,community
1538,bad
1539,anybody
1540,country
1541,look
1542,poll
1543,better
1544,republican
1545,do
1546,long
1547,time
1548,saw
1549,call
1550,super
1551,predator
1552,call
1553,worse
1554,look
1555,back
1556,testimony
1557,year
1558,call
1559,lot
1560,worse
1561,far
1562,church
1563,concern
1564,far
1565,general
1566,concern
1567,get
1568,support
1569,military
1570,leader
1571,general
1572,total
1573,support
1574,law
1575,enforcement
1576,almost
1577,every
1578,law
1579,enforcement
1580,group
1581,unite
1582,state
1583,florida
1584,texas
1585,ohio
1586,excuse
1587,portland
1588,sheriff
1589,come
1590,today
1591,support
1592,president
1593,trump
1594,law
1595,enforcement
1596,even
1597,word
1598,law
1599,enforcement
1600,word
1601,lose
1602,radical
1603,leave
1604,supporter
1605,word
1606,joe
1607,word
1608,law
1609,enforcement
1610,call
1611,u
1612,portland
1613,would
1614,put
1615,fire
1616,half
1617,hour
1618,run
1619,radical
1620,leave
1621,democrat
1622,look
1623,chicago
1624,look
1625,place
1626,look
1627,seattle
1628,hear
1629,come
1630,follow
1631,day
1632,put
1633,hand
1634,get
1635,back
1636,seattle
1637,minneapolis
1638,get
1639,back
1640,joe
1641,believe
1642,law
1643,order
1644,top
1645,city
1646,top
1647,city
1648,run
1649,democrat
1650,many
1651,case
1652,radical
1653,leave
1654,get
1655,wrap
1656,around
1657,finger
1658,joe
1659,point
1660,anything
1661,law
1662,order
1663,tell
1664,people
1665,country
1666,demand
1667,law
1668,order
1669,afraid
1670,even
1671,peaceful
1672,protest
1673,run
1674,middle
1675,town
1676,burn
1677,store
1678,kill
1679,people
1680,place
1681,crosstalk
1682,fine
1683,end
1684,racist
1685,end
1686,lot
1687,people
1688,complain
1689,ask
1690,absolutely
1691,insane
1692,radical
1693,revolution
1694,place
1695,military
1696,school
1697,place
1698,everybody
1699,else
1700,would
1701,crosstalk
1702,certain
1703,person
1704,status
1705,life
1706,sort
1707,reversal
1708,look
1709,people
1710,pay
1711,people
1712,hundred
1713,thousand
1714,dollar
1715,teach
1716,bad
1717,idea
1718,frankly
1719,sick
1720,idea
1721,really
1722,teach
1723,people
1724,hate
1725,country
1726,allow
1727,happen
1728,back
1729,core
1730,value
1731,country
1732,teach
1733,people
1734,country
1735,horrible
1736,place
1737,racist
1738,place
1739,teach
1740,people
1741,hate
1742,country
1743,allow
1744,happen
1745,obamabiden
1746,administration
1747,tremendous
1748,division
1749,hatred
1750,look
1751,ferguson
1752,look
1753,many
1754,place
1755,look
1756,oakland
1757,look
1758,happen
1759,oakland
1760,look
1761,happen
1762,baltimore
1763,look
1764,frankly
1765,violent
1766,even
1767,reason
1768,democrat
1769,run
1770,city
1771,talk
1772,like
1773,law
1774,order
1775,still
1776,mention
1777,favor
1778,law
1779,order
1780,favor
1781,law
1782,order
1783,crosstalk
1784,okay
1785,much
1786,place
1787,trouble
1788,democratic
1789,run
1790,city
1791,party
1792,issue
1793,bring
1794,couple
1795,example
1796,look
1797,chicago
1798,chicago
1799,people
1800,shoot
1801,eight
1802,die
1803,shoot
1804,look
1805,new
1806,york
1807,like
1808,nobody
1809,ever
1810,anything
1811,number
1812,crime
1813,crazy
1814,law
1815,order
1816,lose
1817,radical
1818,leave
1819,supporter
1820,ever
1821,get
1822,run
1823,country
1824,run
1825,would
1826,run
1827,would
1828,suburb
1829,would
1830,would
1831,problem
1832,like
1833,never
1834,oh
1835,suburb
1836,much
1837,talk
1838,talk
1839,defunding
1840,police
1841,law
1842,support
1843,law
1844,enforcement
1845,almost
1846,nothing
1847,oh
